topic,primary_subject,question_count,years_seen,year_list,recurrence,recent_count,years_since_last,due_for_return,importance_score,priority_band
Health Indicators,Community Medicine,25,11,"2010,2011,2012,2013,2014,2015,2016,2018,2019,2021,2024",0.688,1,1,True,78.5,Must
Ear,ENT,63,11,"2012,2013,2014,2015,2016,2018,2019,2020,2022,2023,2024",0.688,2,1,True,78.4,Must
Vaccines,Microbiology,39,11,"2012,2013,2014,2015,2016,2017,2020,2021,2022,2023,2024",0.688,1,1,True,78.4,Must
Ultrasound,OBG,35,11,"2010,2012,2013,2014,2016,2019,2020,2021,2022,2023,2024",0.688,1,1,True,78.4,Must
Burns & Plastic,Surgery,32,11,"2011,2012,2013,2014,2015,2016,2017,2018,2020,2022,2024",0.688,1,1,True,78.4,Must
Arrhythmias,Medicine,22,11,"2010,2011,2013,2015,2017,2018,2019,2020,2022,2024,2025",0.688,6,0,False,78.4,Must
Lens & Cataract,Ophthalmology,95,12,"2012,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024,2025",0.75,6,0,False,78.1,Must
Head and Neck Anatomy,Anatomy,37,12,"2011,2012,2014,2015,2016,2017,2018,2019,2021,2022,2024,2025",0.75,2,0,False,78.0,Must
Anticoagulants,Pharmacology,22,12,"2010,2012,2013,2014,2015,2016,2017,2018,2019,2022,2023,2025",0.75,1,0,False,78.0,Must
Esophageal Disorders,Surgery,25,11,"2010,2012,2013,2015,2016,2017,2018,2019,2020,2024,2025",0.688,5,0,False,77.6,Must
Hernia & Abdominal Wall,Surgery,42,10,"2012,2013,2014,2015,2016,2018,2019,2021,2023,2024",0.625,4,1,True,77.2,Must
Pelvic Anatomy,Anatomy,24,10,"2010,2011,2012,2013,2014,2015,2017,2019,2022,2024",0.625,2,1,True,77.1,Must
Health Care Delivery,Community Medicine,38,9,"2010,2012,2013,2014,2015,2016,2019,2022,2023",0.562,0,2,True,76.9,Must
Cell Biology,Biochemistry,26,9,"2011,2012,2013,2014,2015,2016,2017,2019,2022",0.562,0,3,True,76.9,Must
Infections of Bone & Joint,ENT,24,9,"2013,2014,2015,2016,2018,2019,2020,2022,2023",0.562,0,2,True,76.9,Must
Anemia,Medicine,23,9,"2010,2012,2014,2015,2016,2019,2020,2021,2022",0.562,0,3,True,76.9,Must
Valvular Heart Disease,Medicine,23,11,"2010,2012,2013,2014,2016,2018,2019,2020,2021,2024,2025",0.688,3,0,False,76.9,Must
Transfusion Medicine,Pathology,21,9,"2010,2012,2013,2014,2015,2016,2017,2018,2020",0.562,0,5,True,76.9,Must
Hepatology,Medicine,20,10,"2010,2012,2013,2016,2017,2018,2019,2020,2023,2024",0.625,1,1,True,76.8,Must
Uveitis,Ophthalmology,45,10,"2012,2013,2014,2015,2016,2019,2020,2021,2022,2024",0.625,2,1,True,76.7,Must
Psychopharmacology,Pharmacology,37,11,"2011,2012,2013,2014,2016,2018,2019,2020,2022,2024,2025",0.688,4,0,False,76.7,Must
Pharynx,ENT,24,10,"2012,2013,2014,2015,2016,2017,2018,2022,2023,2024",0.625,1,1,True,76.7,Must
Communicable Diseases,Community Medicine,33,10,"2010,2012,2013,2014,2016,2017,2018,2019,2020,2024",0.625,1,1,True,76.6,Must
Malaria,Microbiology,33,10,"2010,2012,2013,2014,2015,2016,2018,2022,2023,2024",0.625,1,1,True,76.6,Must
Chemotherapy & Anticancer,Pharmacology,32,10,"2010,2012,2013,2014,2015,2016,2019,2020,2023,2024",0.625,1,1,True,76.6,Must
Refractive Errors,Ophthalmology,31,10,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2024",0.625,1,1,True,76.6,Must
Otitis Media,ENT,30,10,"2013,2014,2015,2016,2018,2019,2020,2021,2022,2024",0.625,1,1,True,76.6,Must
Neuromuscular Blockers,Anaesthesia,20,11,"2010,2012,2013,2014,2016,2017,2018,2019,2020,2021,2025",0.688,2,0,False,76.6,Must
Throat & Larynx,ENT,52,11,"2010,2012,2013,2014,2016,2017,2018,2019,2023,2024,2025",0.688,4,0,False,76.4,Must
Electrolyte Imbalance,Medicine,23,11,"2010,2011,2014,2015,2016,2017,2018,2020,2021,2022,2025",0.688,1,0,False,76.1,Must
Acid-Base Balance,Physiology,21,10,"2010,2011,2015,2016,2019,2020,2021,2022,2024,2025",0.625,5,0,False,76.1,Must
Strabismus,Ophthalmology,36,9,"2012,2013,2014,2015,2016,2019,2020,2021,2024",0.562,5,1,True,75.8,Must
Pelvis & Perineum,Anatomy,34,8,"2010,2012,2013,2014,2015,2016,2018,2019",0.5,0,6,True,75.0,Must
Pneumonia,Pathology,30,8,"2012,2013,2014,2015,2016,2018,2019,2021",0.5,0,4,True,75.0,Must
Inborn errors of metabolism,Biochemistry,29,8,"2010,2012,2013,2014,2015,2016,2018,2019",0.5,0,6,True,75.0,Must
Glomerular Diseases,Pathology,22,8,"2012,2013,2014,2015,2018,2020,2021,2022",0.5,0,3,True,75.0,Must
Antipsychotics,Pharmacology,21,8,"2011,2013,2014,2015,2016,2017,2018,2020",0.5,0,5,True,75.0,Must
Rhinology,ENT,36,9,"2010,2013,2014,2015,2016,2018,2019,2022,2024",0.562,2,1,True,74.9,Must
Inborn Errors Of Metabolism,Biochemistry,35,10,"2012,2013,2014,2015,2016,2018,2019,2022,2024,2025",0.625,4,0,False,74.9,Must
Enzymes,Biochemistry,21,9,"2012,2013,2014,2015,2016,2017,2018,2023,2024",0.562,1,1,True,74.9,Must
Diuretics,Pharmacology,30,10,"2012,2013,2014,2015,2018,2019,2020,2022,2024,2025",0.625,3,0,False,74.8,Must
Maternal and Child Health,Community Medicine,26,9,"2010,2012,2013,2014,2016,2019,2021,2022,2024",0.562,1,1,True,74.8,Must
Immunodeficiency,Pathology,23,10,"2013,2014,2015,2016,2017,2018,2019,2022,2024,2025",0.625,2,0,False,74.6,Must
Neuroimaging,Radiology,21,8,"2012,2013,2014,2015,2017,2018,2019,2024",0.5,4,1,True,74.4,Must
Head And Neck Anatomy,Anatomy,20,10,"2011,2013,2014,2015,2016,2018,2019,2021,2022,2025",0.625,1,0,False,74.2,Must
Personality Disorders,Psychiatry,29,8,"2012,2013,2014,2015,2016,2019,2021,2024",0.5,4,1,True,73.9,Must
