recent_count,older_count,recent_share,older_share,delta_share,topic
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Varicella-Zoster Virus
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Metaboelic Disorders
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Neck Swellings
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Musculoskeletal Disorders In Children
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Pre-eclampsia Eclampsia management
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Pre-Eclampsia Eclampsia Management
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Anal Carcinoma
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Hematologic malignancies
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Maternal Health Indicators
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Testicular Torsion
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Spinal Nerves
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Conjunctival lesions
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Crystal arthropathies
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Psychiatric assessment
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Digoxin Toxicity
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Paternity
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Emergency management
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Vitarmins
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Oxygen Delivery Systems
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Familial Hypercholesterolemia
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,"Neurotic, Stress-Related And Somatoform Disorders"
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Acetylcholine
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Episiotomy repair
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Diabetic Emergencies
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Demographic transition
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Demographic Transition
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Infectious dermatoses
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Drug Hypersensitivity
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Drug Mechanism
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Alkaptonuria
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Dyslipidemias
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Abdominal radiology
3.0,6.0,0.0004968532626697582,0.00017071643999317133,0.0003261368226765869,Neuromuscular blockers
3.0,6.0,0.0004968532626697582,0.00017071643999317133,0.0003261368226765869,Fluid and Electrolyte Balance
3.0,6.0,0.0004968532626697582,0.00017071643999317133,0.0003261368226765869,Pigmentary Disorders
3.0,6.0,0.0004968532626697582,0.00017071643999317133,0.0003261368226765869,Inheritance patterns
4.0,12.0,0.000662471016893011,0.00034143287998634266,0.0003210381369066683,Legal Medicine
4.0,12.0,0.000662471016893011,0.00034143287998634266,0.0003210381369066683,Uterine Prolapse
